,ds,team,t,j,elo
152,1996-09-25,Toros Neza,1,7,1489.6633128860017
153,1996-09-25,Pachuca,1,7,1490.11744966471
154,1996-09-25,America,1,7,1491.46591503454
155,1996-09-25,Necaxa,1,7,1490.6990817186174
156,1996-09-25,Atlas,1,7,1525.977381504646
157,1996-09-28,Atlas,1,8,1525.973673767682
158,1996-09-28,Santos,1,8,1525.8522692594015
159,1996-09-28,Cruz Azul,1,8,1519.5125585610097
160,1996-09-28,Puebla,1,8,1524.272706035819
161,1996-09-28,Toluca,1,8,1519.0211499796014
162,1996-09-28,Necaxa,1,8,1481.2415127113202
163,1996-09-28,Leon,1,8,1509.728527146826
164,1996-09-28,Celaya,1,8,1461.8195258702624
165,1996-09-29,Guadalajara,1,8,1546.0072954784953
166,1996-09-29,UAG,1,8,1472.998469535519
167,1996-09-29,America,1,8,1482.4802711122877
168,1996-09-29,Atlante,1,8,1535.8155220895715
169,1996-09-29,Toros Neza,1,8,1499.7958109762726
170,1996-09-29,Veracruz,1,8,1484.1345393717672
171,1996-09-29,Morelia,1,8,1475.1969220348822
172,1996-09-29,Pachuca,1,8,1479.3803019631878
173,1996-09-30,UNAM,1,8,1465.3726213805553
174,1996-09-30,Monterrey,1,8,1491.396322725539
175,1996-10-04,Monterrey,1,9,1501.9234768620374
176,1996-10-04,Leon,1,9,1499.2013730103276
177,1996-10-05,Veracruz,1,9,1483.5950522649405
178,1996-10-05,UNAM,1,9,1465.912108487382
179,1996-10-05,Atlas,1,9,1525.7735907535691
180,1996-10-05,Toluca,1,9,1519.2212329937142
181,1996-10-05,Necaxa,1,9,1491.775041242954
182,1996-10-05,Toros Neza,1,9,1489.2622824446387
183,1996-10-06,UAG,1,9,1474.3293110509537
184,1996-10-06,Cruz Azul,1,9,1518.181717045575
185,1996-10-06,Santos,1,9,1535.8068060884807
186,1996-10-06,Puebla,1,9,1514.3181692067399
187,1996-10-06,Pachuca,1,9,1471.274814209027
188,1996-10-06,Guadalajara,1,9,1554.112783232656
189,1996-10-06,Atlante,1,9,1544.088269666578
190,1996-10-06,Morelia,1,9,1466.9241744578756
191,1996-10-23,Celaya,1,9,1452.413489949503
192,1996-10-23,America,1,9,1491.8863070330472
193,1996-10-12,Puebla,1,10,1523.1722530073544
194,1996-10-12,UAG,1,10,1465.4752272503392
195,1996-10-12,Cruz Azul,1,10,1506.8397713619431
196,1996-10-12,Pachuca,1,10,1482.6167598926588
197,1996-10-12,America,1,10,1502.1751196609653
198,1996-10-12,Monterrey,1,10,1491.6346642341193
199,1996-10-12,Toluca,1,10,1509.698241874751
200,1996-10-12,Santos,1,10,1545.329797207444
201,1996-10-12,Leon,1,10,1508.752488852564
202,1996-10-12,Veracruz,1,10,1474.043936422704
203,1996-10-13,Toros Neza,1,10,1500.3093109257397
204,1996-10-13,Atlas,1,10,1514.726562272468
205,1996-10-13,UNAM,1,10,1456.6551316138045
206,1996-10-13,Necaxa,1,10,1501.0320181165316
207,1996-10-13,Morelia,1,10,1456.5067660552052
208,1996-10-13,Celaya,1,10,1462.8308983521733
209,1996-10-13,Guadalajara,1,10,1563.8243345777967
210,1996-10-13,Atlante,1,10,1534.3767183214375
211,1996-10-18,Monterrey,1,11,1480.6270332045717
212,1996-10-18,Morelia,1,11,1467.5143970847528
213,1996-10-19,Atlas,1,11,1513.0705249488212
214,1996-10-19,UNAM,1,11,1458.3111689374514
215,1996-10-19,Veracruz,1,11,1484.8518522151214
216,1996-10-19,America,1,11,1491.367203868548
217,1996-10-19,Celaya,1,11,1475.658526776716
218,1996-10-19,Guadalajara,1,11,1550.996706153254
219,1996-10-19,Necaxa,1,11,1501.2541945588596
220,1996-10-19,Leon,1,11,1508.530312410236
221,1996-10-19,Toluca,1,11,1519.4280724815897
